58,47,0
60,47,0
59,47,0
79,46,0
61,298,0
0,304,0
0,88,0
60,89,0
79,467,0
58,403,0
77,391,0
275,284,0
275,285,0
0,310,0
55,75,0
65,77,0
58,82,0
58,77,0
57,77,0
75,76,0
75,453,0
0,316,0
273,293,0
272,274,0
0,310,0
75,509,0
351,83,0
10,74,0
9,6,0
8,6,0
79,79,0
50,78,0
16,122,0
8,146,0
50,279,0
0,275,0
273,277,0
0,371,0
66,77,0
67,78,0
0,280,0
49,374,0
49,386,0
49,413,0
50,562,0
4,547,0
3,584,0
5,591,0
74,6,0
77,84,0
76,84,0
77,5,0
76,6,0
75,82,0
65,11,0
63,10,0
66,15,0
0,16,0
63,20,0
50,19,0
77,19,0
3,42,0
0,41,0
0,55,0
272,78,0
272,98,0
272,278,0
272,279,0
0,327,0
88,14,0
0,14,0
0,7,0
0,5,0
0,6,0
0,5,0
53,84,0
0,86,0
76,84,0
0,96,0
88,0,0
274,185,0
274,150,0
275,10,0
274,7,0
274,311,0
65,78,0
76,353,0
69,317,0
0,364,0
